,Country,Year,birth%,Count
0,Australia,1971,9.3,34
1,Australia,1974,9.5,34
2,Australia,1976,10.1,34
3,Australia,1979,11.7,34
4,Australia,1980,12.4,34
5,Australia,1981,13.2,34
6,Australia,1983,14.7,34
7,Australia,1984,14.8,34
8,Australia,1989,20.2,34
9,Australia,1990,21.9,34
10,Australia,1991,23.0,34
11,Australia,1992,24.0,34
12,Australia,1993,24.9,34
13,Australia,1994,25.6,34
14,Australia,1995,26.6,34
15,Australia,1996,27.4,34
16,Australia,1997,28.1,34
17,Australia,1998,28.7,34
18,Australia,1999,29.2,34
19,Australia,2000,29.3,34
20,Australia,2001,30.7,34
21,Australia,2002,31.3,34
22,Australia,2003,31.6,34
23,Australia,2004,32.2,34
24,Australia,2005,32.2,34
25,Australia,2006,32.7,34
26,Australia,2007,33.3,34
27,Australia,2008,34.3,34
28,Australia,2009,34.5,34
29,Australia,2010,33.8,34
30,Australia,2011,34.2,34
31,Australia,2012,34.5,34
32,Australia,2013,34.4,34
33,Australia,2014,34.4,34
34,Austria,1960,13.0,53
35,Austria,1961,12.6,53
36,Austria,1962,12.0,53
37,Austria,1963,11.6,53
38,Austria,1964,11.3,53
39,Austria,1965,11.2,53
40,Austria,1966,11.4,53
41,Austria,1967,11.5,53
42,Austria,1968,12.0,53
43,Austria,1969,12.2,53
44,Austria,1970,12.8,53
45,Austria,1971,13.0,53
46,Austria,1972,13.7,53
47,Austria,1973,13.7,53
48,Austria,1974,13.8,53
49,Austria,1975,13.5,53
50,Austria,1976,13.8,53
51,Austria,1977,14.2,53
52,Austria,1978,14.8,53
53,Austria,1979,16.5,53
54,Austria,1980,17.8,53
55,Austria,1981,19.5,53
56,Austria,1982,21.6,53
57,Austria,1983,22.4,53
58,Austria,1984,21.5,53
59,Austria,1985,22.4,53
60,Austria,1986,23.3,53
61,Austria,1987,23.4,53
62,Austria,1988,21.0,53
63,Austria,1989,22.6,53
64,Austria,1990,23.6,53
65,Austria,1991,24.8,53
66,Austria,1992,25.2,53
67,Austria,1993,26.3,53
68,Austria,1994,26.8,53
69,Austria,1995,27.4,53
70,Austria,1996,28.0,53
71,Austria,1997,28.8,53
72,Austria,1998,29.5,53
73,Austria,1999,30.5,53
74,Austria,2000,31.3,53
75,Austria,2001,33.1,53
76,Austria,2002,33.8,53
77,Austria,2003,35.3,53
78,Austria,2004,35.9,53
79,Austria,2005,36.5,53
80,Austria,2006,37.2,53
81,Austria,2007,38.3,53
82,Austria,2008,38.8,53
83,Austria,2009,39.3,53
84,Austria,2010,40.1,53
85,Austria,2011,40.4,53
86,Austria,2012,41.5,53
87,Belgium,1960,2.1,53
88,Belgium,1961,2.0,53
89,Belgium,1962,2.1,53
90,Belgium,1963,2.2,53
91,Belgium,1964,2.3,53
92,Belgium,1965,2.4,53
93,Belgium,1966,2.5,53
94,Belgium,1967,2.5,53
95,Belgium,1968,2.7,53
96,Belgium,1969,2.7,53
97,Belgium,1970,2.8,53
98,Belgium,1971,3.0,53
99,Belgium,1972,3.0,53
100,Belgium,1973,3.0,53
101,Belgium,1974,3.1,53
102,Belgium,1975,3.1,53
103,Belgium,1976,3.1,53
104,Belgium,1977,3.1,53
105,Belgium,1978,3.4,53
106,Belgium,1979,3.8,53
107,Belgium,1980,4.1,53
108,Belgium,1981,4.5,53
109,Belgium,1982,5.2,53
110,Belgium,1983,5.7,53
111,Belgium,1984,6.3,53
112,Belgium,1985,7.1,53
113,Belgium,1986,7.8,53
114,Belgium,1987,9.1,53
115,Belgium,1988,10.7,53
116,Belgium,1989,11.3,53
117,Belgium,1990,11.6,53
118,Belgium,1991,12.6,53
119,Belgium,1992,13.6,53
120,Belgium,1993,14.5,53
121,Belgium,1994,15.8,53
122,Belgium,1995,17.3,53
123,Belgium,1996,19.1,53
124,Belgium,1997,21.0,53
125,Belgium,1998,23.2,53
126,Belgium,1999,25.5,53
127,Belgium,2000,28.0,53
128,Belgium,2001,30.2,53
129,Belgium,2002,32.5,53
130,Belgium,2003,34.7,53
131,Belgium,2004,36.9,53
132,Belgium,2005,39.4,53
133,Belgium,2006,40.9,53
134,Belgium,2007,43.2,53
135,Belgium,2008,44.6,53
136,Belgium,2009,45.5,53
137,Belgium,2010,45.7,53
138,Belgium,2011,50.0,53
139,Belgium,2012,52.3,53
140,Bulgaria,1960,8.0,55
141,Bulgaria,1961,8.0,55
142,Bulgaria,1962,8.1,55
143,Bulgaria,1963,8.4,55
144,Bulgaria,1964,8.8,55
145,Bulgaria,1965,9.4,55
146,Bulgaria,1966,9.6,55
147,Bulgaria,1967,9.7,55
148,Bulgaria,1968,9.6,55
149,Bulgaria,1969,9.2,55
150,Bulgaria,1970,8.5,55
151,Bulgaria,1971,9.6,55
152,Bulgaria,1972,9.9,55
153,Bulgaria,1973,10.7,55
154,Bulgaria,1974,9.6,55
155,Bulgaria,1975,9.3,55
156,Bulgaria,1976,9.5,55
157,Bulgaria,1977,9.8,55
158,Bulgaria,1978,9.9,55
159,Bulgaria,1979,10.6,55
160,Bulgaria,1980,10.9,55
161,Bulgaria,1981,10.3,55
162,Bulgaria,1982,11.4,55
163,Bulgaria,1983,11.3,55
164,Bulgaria,1984,11.4,55
165,Bulgaria,1985,11.7,55
166,Bulgaria,1986,10.9,55
167,Bulgaria,1987,10.8,55
168,Bulgaria,1988,11.0,55
169,Bulgaria,1989,11.4,55
170,Bulgaria,1990,12.4,55
171,Bulgaria,1991,15.5,55
172,Bulgaria,1992,18.5,55
173,Bulgaria,1993,22.1,55
174,Bulgaria,1994,24.5,55
175,Bulgaria,1995,25.7,55
176,Bulgaria,1996,28.1,55
177,Bulgaria,1997,30.0,55
178,Bulgaria,1998,31.5,55
179,Bulgaria,1999,35.1,55
180,Bulgaria,2000,38.4,55
181,Bulgaria,2001,42.0,55
182,Bulgaria,2002,42.8,55
183,Bulgaria,2003,46.1,55
184,Bulgaria,2004,48.7,55
185,Bulgaria,2005,49.0,55
186,Bulgaria,2006,50.8,55
187,Bulgaria,2007,50.2,55
188,Bulgaria,2008,51.1,55
189,Bulgaria,2009,53.4,55
190,Bulgaria,2010,54.1,55
191,Bulgaria,2011,56.1,55
192,Bulgaria,2012,57.4,55
193,Bulgaria,2013,59.1,55
194,Bulgaria,2014,58.8,55
195,Canada,1960,4.3,36
196,Canada,1961,4.5,36
197,Canada,1962,4.8,36
198,Canada,1963,5.3,36
199,Canada,1964,5.9,36
200,Canada,1965,6.7,36
201,Canada,1966,7.6,36
202,Canada,1967,8.3,36
203,Canada,1968,9.0,36
204,Canada,1969,9.2,36
205,Canada,1970,9.6,36
206,Canada,1971,9.0,36
207,Canada,1972,9.0,36
208,Canada,1973,9.0,36
209,Canada,1991,27.0,36
210,Canada,1992,28.2,36
211,Canada,1993,29.2,36
212,Canada,1994,29.6,36
213,Canada,1995,30.5,36
214,Canada,1996,30.9,36
215,Canada,1997,31.4,36
216,Canada,1998,31.3,36
217,Canada,1999,31.2,36
218,Canada,2000,31.7,36
219,Canada,2001,31.4,36
220,Canada,2002,31.6,36
221,Canada,2003,29.2,36
222,Canada,2004,28.8,36
223,Canada,2005,29.1,36
224,Canada,2006,30.6,36
225,Canada,2007,31.0,36
226,Canada,2008,32.1,36
227,Canada,2009,32.2,36
228,Canada,2010,32.3,36
229,Canada,2011,33.4,36
230,Canada,2012,33.0,36
231,Chile,2002,52.2,9
232,Chile,2006,61.2,9
233,Chile,2007,63.1,9
234,Chile,2008,65.1,9
235,Chile,2009,67.4,9
236,Chile,2010,68.5,9
237,Chile,2011,69.3,9
238,Chile,2012,70.3,9
239,Chile,2013,71.1,9
240,Costa Rica,1983,38.1,32
241,Costa Rica,1984,37.2,32
242,Costa Rica,1985,37.6,32
243,Costa Rica,1986,38.4,32
244,Costa Rica,1987,38.8,32
245,Costa Rica,1988,38.7,32
246,Costa Rica,1989,38.3,32
247,Costa Rica,1990,38.5,32
248,Costa Rica,1991,40.3,32
249,Costa Rica,1992,40.6,32
250,Costa Rica,1993,42.1,32
251,Costa Rica,1994,44.7,32
252,Costa Rica,1995,45.9,32
253,Costa Rica,1996,47.1,32
254,Costa Rica,1997,47.9,32
255,Costa Rica,1998,49.3,32
256,Costa Rica,1999,51.1,32
257,Costa Rica,2000,52.7,32
258,Costa Rica,2001,53.5,32
259,Costa Rica,2002,55.3,32
260,Costa Rica,2003,57.0,32
261,Costa Rica,2004,58.9,32
